id,question,seq2seq,concate,seq2seq_attention
0,How are you?,fine i am fine,i am getting getting some trouble in the street,hello
1,How is it going?,i will be fine,i am fine,i am going to hang up the other way i am giving you
2,How old are you?,i am going to need to feel about it,i am fine,i am not getting married
3,How do you like to cook your meat?,what do you think,i do not know,takes more than than a year
4,What is your schedule?,second minute,i am sorry,i felt a break by the day day last night i was married
5,What is your name?,my name is a movie,i am sorry i cannot say,what are you
6,What's up?,i am not going to find out this,i am not leaving you,i am sorry
7,What is your favorite color?,good luck,i am sorry,i am lying
8,What is your favorite song?,it is a long time,i am sorry,you are high kid
9,What is the weather like?,it is not a problem is not it a private hour,i am not crazy i am not a little seem to be,seems like you believe me
10,What can you do for me?,i do not know,i do not know,you are not coming to seconds
11,What are you doing?,i am going to see you,i am going to see you again,i am doing this
12,What time is it?,i do not know i do not know,i do not know i do not know what you are talking about,i am sorry
13,What hell is going on here?,i do not know,i do not know,we are going to need some time we go ahead
14,What do you want?,i am a it important morning,i am not going to kill you,i am not sure
15,What is your idea?,i do not know,i am sorry,i am not sure
16,Where can I go shopping?,well,i do not know i just thought it was a kid,i do not know
17,Where would you like to go?,i am a man,i do not know,i am not sure i would be
18,Where are you from?,,i am not sure i can get my car,i do not know
19,Where do you come from?,get the fuck you,i do not know i just do not have to,i am not sure
20,Where can I find best cheeseburger?,feels for sure,i do not know,i am sorry
21,Where are you right now?,i am not sure,i am not sure i will be here,i am trying to find us going in new york
22,Who are you?,i am your are matter about the other,i am not sure,i am sorry
23,Who is your favorite singer?,good name is not a man,i am not sure i will take you out of my kitchen,no no it is the one of the
24,Which house do you prefer?,i do not know,i do not want to,no you are not
25,Can I have a meal?,oh yeah well we are here but i have a good news,i am not going to run for you,thank you
26,Can you give me a help?,i do not think so,i am fine,i am not
27,Can you play the guitar?,it is a kind of it,i am sorry i am fine,i guess
28,Can you talk to me?,no we do not,i am sorry i will see you,i will be there in the world
29,Can you tell me a story?,not,i am sorry i did not mean to,i am not sure
30,May I help you?,i will be back in a minute,i am looking for a cup of coffee,i am not going to ahead of you
31,Would you like to take a walk?,i will not die,i am not crazy,naw i would like to rather a boat
32,Would you like a drink?,yes thank you,i am not a man,no thank you
33,Do you speak English?,i do not know,i do not know,i do not understand
34,Do you speak Spanish?,i do not know,i do not know,no no no
35,Do you know me?,i do not know,i do not know,no no no
36,Do you have a job?,i do not know,i do not know i do not understand,i met her i have got old straight like ahead of years
37,Do you like me?,yes i do,i do not know what you are,no thank you
38,Are you okay?,i am fine,i am fine,i am fine
39,Are you serious?,not to me,i am not i am not calling,i am sure he was in the last night
40,Seriously?,i know,i am thinking about you,sorry mom sorry mom
41,Really?,what is it,i do not know,you cannot read the book
42,Help yourself,what is it,i am a,i guess i will never notice before
43,Give me a break,what do you want,i do not know,i will be gone
44,Have fun ,yeah but i am not sure,i do not know,i am getting married prove to eat
45,Nice to meet you ,i have to see you,thank you,i understand
46,Congratulations,you are welcome,i forgot i was not going to be the last,glad to meet you
